buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
266,5164,2.5500318861036174e-05,0.13829002489134146,0.15020843686254104,0.07510421843127052,Medium,Riffe Building (0266),130130,HEAT
46,5164,2.0301096332870355e-05,0.1513620942808886,0.1512682668003574,0.0756341334001787,Medium,Journalism Building (0046),84561,HEAT
293,5164,2.309053345865919e-05,0.20729036337441772,0.15948980330501386,0.07974490165250693,Medium,Cunz Hall (0293),68100,HEAT
106,5164,2.2048282097870094e-05,0.19972794205896688,0.1611999721620698,0.0805999860810349,Medium,Sullivant Hall (0106),135883,HEAT
309,5164,1.858155817490663e-05,0.5414477502273393,0.16124853377703763,0.08062426688851881,Medium,Pressey Hall (0309),77720,HEAT
1064,5164,1.9735171309928638e-05,0.5220143169299312,0.16223210644834277,0.08111605322417138,Medium,Timashev Family Music Building (1064),82535,HEAT
1102,5164,2.1825474177219674e-05,0.699268469965585,0.16824023552177136,0.08412011776088568,Medium,Houston House (1102),138006,HEAT
1025,5164,2.1922160005558317e-05,0.44850174493410755,0.17234711561320445,0.08617355780660223,Low,"Theatre, Film and Media Arts Building (1025)",123378,HEAT
65,5164,2.1317691352943348e-05,0.3357272990672275,0.17396550407411884,0.08698275203705942,Low,Smith Laboratory (0065),218468,HEAT
340,5164,3.243600675903979e-05,0.5704360359859404,0.17741488389458812,0.08870744194729406,Low,Kottman Hall (0340),166094,HEAT
194,5164,3.460413401390144e-05,1.0995367555316564,0.1808456568639744,0.0904228284319872,Low,Houck House (0194),38462,HEAT
146,5164,2.6072040848342345e-05,1.1772395176748658,0.18573547555819947,0.09286773777909973,Low,Bolz Hall (0146),82179,HEAT
1101,5164,2.3718384308711325e-05,0.7357009388668151,0.18724720193629968,0.09362360096814984,Low,Torres House (1101),127073,HEAT
147,5164,3.715610492918041e-05,0.6190123837461943,0.18885057234533698,0.09442528617266849,Low,Newman and Wolfrom Laboratory of Chemistry (0147),62058,HEAT
1018,5164,2.6980433539190526e-05,0.07001676716319255,0.18888264945232475,0.09444132472616237,Low,Fontana Laboratories (1018),124191,HEAT
81,5164,2.7233990864212198e-05,0.32087958243089165,0.1911967546672207,0.09559837733361035,Low,Schottenstein Center (0081),626259,HEAT
363,5160,2.6021400193172387e-05,0.11521397064828913,0.19176061242723527,0.09588030621361764,Low,Comprehensive Cancer Center (0363),74390,HEAT
276,5148,3.787481965604769e-05,0.2094249019196073,0.19434430246958706,0.09717215123479353,Low,Biological Sciences Building (0276),180694,HEAT
95,5164,3.5659556313085013e-05,0.9813020854984423,0.1963738913580266,0.0981869456790133,Low,Baker Hall (0095),224834,HEAT
100,5164,4.100121834953481e-05,1.5316482349993517,0.19926306351063497,0.09963153175531748,Low,Mack Hall (0100),83336,HEAT
297,5108,4.6615015348608066e-05,0.32263944893627744,0.2003497407391504,0.1001748703695752,Low,Howlett Greenhouses (0297),41678,HEAT
37,5164,2.501483879243011e-05,0.4699894569013531,0.20466630788388016,0.10233315394194008,Low,Hagerty Hall (0037),142496,HEAT
851,5156,3.966278504435075e-05,1.304692449344724,0.2046923469828566,0.1023461734914283,Low,Park-Stradley Hall (0851),271039,HEAT
252,5164,3.3177283110748845e-05,0.24054760111967072,0.20624015386860609,0.10312007693430304,Low,Mason Hall (0252),68150,HEAT
355,5164,2.5963881456152286e-05,0.9621812315200118,0.21490316976973228,0.10745158488486614,Low,Weigel Hall (0355),58264,HEAT
1110,5164,2.87552856295326e-05,0.8932758917908069,0.21539069921573037,0.10769534960786518,Low,Nosker House (1110),107132,HEAT
388,4036,3.595221563247831e-05,0.12372157725005188,0.215969272811401,0.1079846364057005,Low,"Chiller Plant, South Campus Central (0388)",83056,HEAT
299,5164,3.383557119971653e-05,0.21176813750161405,0.22200837830156783,0.11100418915078392,Low,Veterinary Medical Center (0299),278249,HEAT
40,5160,4.759691087184207e-05,1.9881203976207464,0.2244426256306258,0.1122213128153129,Low,Fechko Alumnae Scholarship House (0040),6396,HEAT
186,5164,2.787550820680487e-06,25.957301626953022,0.2306150544104384,0.1153075272052192,Low,Norton House (0186),35831,HEAT
281,5164,3.084351962474233e-05,0.3243121477971414,0.23281308514732157,0.11640654257366079,Low,Meiling Hall (0281),76545,HEAT
149,5164,3.7979695175182715e-05,0.45680842860388504,0.24409591318062634,0.12204795659031317,Low,Hopkins Hall (0149),110154,HEAT
261,5136,4.991328676703401e-05,2.254916596508644,0.25786513732296085,0.12893256866148042,Low,Archer House (0261),34948,HEAT
1105,5164,3.571457800136565e-05,1.2549934561379479,0.2628624008252194,0.1314312004126097,Low,Busch House (1105),117017,HEAT
371,5160,4.8420739849761595e-05,0.2167362421209564,0.2680271452114457,0.13401357260572286,Low,Celeste Laboratory of Chemistry (0371),110310,HEAT
1104,5164,3.500850636062204e-05,1.3641716710992127,0.26802932591678846,0.13401466295839423,Low,Bowen House (1104),95448,HEAT
251,5084,4.6135890306260604e-05,0.18642050395137566,0.2760444063566542,0.1380222031783271,Low,Schoenbaum Hall (0251),62748,HEAT
161,5164,3.832260244590521e-05,0.21522060652274064,0.2804268258236496,0.1402134129118248,Low,Ohio Union (0161),317694,HEAT
1108,5164,4.017965005380134e-05,0.8145159621932782,0.3026660356233509,0.15133301781167546,Low,Scott House (1108),169311,HEAT
250,4820,4.339867399733378e-05,0.08988784537919044,0.30443217086104213,0.15221608543052106,Low,Gerlach Hall (0250),69508,HEAT
28,5112,6.746687156472377e-05,0.726783814061364,0.34655436796652483,0.17327718398326242,Low,Faculty Club (0028),32811,HEAT
1106,5164,5.5420865250233584e-05,0.4475791575361911,0.36480400150145575,0.18240200075072788,Low,Curl Hall (1106),27916,HEAT
7,4292,6.0595002859628026e-05,0.1628270393737644,0.41571511616399526,0.20785755808199763,Low,Mathematics Tower (0007),61621,HEAT
105,5156,6.633414617288241e-05,0.24155283916911932,0.4207425345361891,0.21037126726809455,Low,Kennedy Commons (0105),36868,HEAT
10,5164,6.390739381513209e-05,0.2694455915315078,0.4346473711708435,0.21732368558542176,Low,Biological Sciences Greenhouses (0010),35173,HEAT
1107,5164,5.599661832677938e-05,1.6106460766007324,0.44378051446699374,0.22189025723349687,Low,Blackburn House (1107),136721,HEAT
131,5164,7.296645204470171e-05,0.4159377441748997,0.5007844996234904,0.2503922498117452,Low,Aronoff Laboratory (0131),108644,HEAT
1109,5164,6.786674545787291e-05,1.454561371188936,0.5453561097260219,0.27267805486301094,Low,North Recreation Center (1109),29520,HEAT
247,5164,8.645255690644242e-05,0.9748541487463619,0.5785735110162644,0.2892867555081322,Low,McCorkle Aquatic Pavilion (0247),126374,HEAT
390,4696,0.00010504141331200974,0.29789271627903824,0.7261958262102661,0.36309791310513306,Low,Water Treatment (0390),19518,HEAT
