buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,qrf_mean_interval,qrf_uncertainty,ngb_mean_std,ngb_uncertainty,rank_std,n_models,model_disagreement,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
162,5164,7.329942430410465e-07,0.1244151872959853,0.022364976559847153,5.907873073143484e-07,0.004239200107424811,0.0002709335579463371,0.005517957913076086,81.65047458527108,5,0.6388059243012424,0.2002387639721445,Low,Parking Garage - Ohio Union South (0162),280482,ELECTRICITY
992,5164,1.2234160891205542e-06,0.33515404472774507,0.02459034005011073,2.491155191814238e-06,0.06751494519510737,0.0002709335579463371,0.008935914133708736,74.77499582079561,5,0.5840663774783801,0.2008161386773804,Low,Waterman - Turf Shed 1 (0992),1900,ELECTRICITY
37,5164,7.594401806948415e-06,0.10320282101697877,0.033050804374722416,3.5438785331076186e-05,0.04568356754625759,0.00026943942244589555,0.00039428752399026654,76.60156656361539,5,0.5986087327276559,0.20097789614587647,Low,Hagerty Hall (0037),142496,ELECTRICITY
150,5164,2.813406365358088e-06,0.012774307216173631,0.024984209850701614,1.4594797713563806e-05,0.0005427160115731499,0.00026943942244589555,9.914527624011718e-05,82.86314017704132,5,0.6484606359533471,0.20218400453554397,Low,Evans Laboratory (0150),117574,ELECTRICITY
849,5164,4.702767680918379e-06,0.09050986923613989,0.028212368464247628,5.048518783342437e-05,0.09894690942876186,0.00026943942244589555,0.0005787921068662603,72.18587119374538,5,0.5634529026051938,0.20232312749405285,Low,William Hall Complex - Worthington Building (0849),49975,ELECTRICITY
245,5164,2.1783963037000046e-06,0.04820974905126985,0.023897013914739276,3.579388475048465e-05,0.07943796397009951,0.00026943942244589555,0.0006728833269001056,75.28612089887484,5,0.5881357312066499,0.20357024702797666,Low,Physical Activity and Education Services - PAES (0245),164672,ELECTRICITY
246,5164,1.7633519685052524e-05,0.05231702495369304,0.05154623468138153,5.382365341418761e-05,0.010696649579664033,0.00027540991688149727,4.996385657616816e-05,79.68249494085887,5,0.623137733389455,0.2050868473946534,Low,Recreation and Physical Activity Center (0246),279856,ELECTRICITY
211,5164,1.7643753137469616e-05,0.11335868317228978,0.050436842800709994,5.493327724815734e-05,0.03170067315721331,0.00026943942244589555,0.00016060648593564723,77.64470361846969,5,0.6069137325120914,0.2051544318560341,Low,Adventure Recreation Center (0211),86255,ELECTRICITY
83,5164,9.963682426473687e-07,0.14485279485860914,0.023136023781567063,5.87956644428374e-07,0.002630601809595374,0.0002709335579463371,0.004719181133554086,84.19501172872417,5,0.6590644131829527,0.2060256587117879,Low,Parking Garage - Northwest (0083),228195,ELECTRICITY
61,5164,1.9870233760176517e-05,0.18024826609392877,0.0495354433233485,3.7854037908210154e-05,0.03066220244129775,0.00026943942244589555,0.00024692351441057167,78.31155725689537,5,0.6122229287462801,0.20623010075837464,Low,Page Hall (0061),64665,ELECTRICITY
